id,tcg_player_id,name,set_name
10571,175270,Charizard,Dragon Majesty
10910,186007,Charizard,Detective Pikachu
11000,223073,Charizard VMAX (Secret),Champion's Path
11001,223078,Charizard V (Secret),Champion's Path
11070,84195,Charizard (Delta Species),Crystal Guardians
11235,91144,Charizard EX (11),XY - Flashfire
11247,91206,M Charizard EX (X),XY - Flashfire
11251,91245,M Charizard EX (Y) (Secret),XY - Flashfire
11277,91146,M Charizard EX (Y),XY - Flashfire
11279,91145,Charizard EX (12),XY - Flashfire
11299,91238,Charizard EX (100 Full Art),XY - Flashfire
11328,91246,M Charizard EX (X) (Secret),XY - Flashfire
11395,527938,Charizard,Trading Card Game Classic
11671,274439,Charizard,Pokemon GO
11698,274467,Radiant Charizard,Pokemon GO
12285,42479,Charizard,Base Set 2
12348,84188,Charizard,Power Keepers
12472,84190,Charizard,Stormfront
12927,42382,Charizard,Base Set
12972,657516,Charizard (Black Dot Error),Base Set
13242,478098,Radiant Charizard,SWSH: Crown Zenith
13292,478090,Charizard V,SWSH: Crown Zenith
13300,478094,Charizard VSTAR,SWSH: Crown Zenith
13502,232496,Charizard VMAX,Shining Fates: Shiny Vault
14932,84196,Charizard,Legendary Collection
15137,84189,Charizard,Secret Wonders
15487,197780,Charizard GX,Hidden Fates: Shiny Vault
15735,84191,Charizard,Arceus
16136,534416,Charizard ex - 054/091,SV: Paldean Fates
16247,535090,Charizard ex - 234/091,SV: Paldean Fates
16591,84202,Charizard G LV.X - DP45,Diamond and Pearl Promos
16804,83861,Blaine's Charizard,Gym Challenge
16874,113669,Charizard EX,Generations
16876,113670,M Charizard EX,Generations
16877,680640,Mega Charizard Y ex - 030,ME: Mega Evolution Promo
16905,680639,Mega Charizard X ex - 029,ME: Mega Evolution Promo
16907,659612,Mega Charizard X ex - 023,ME: Mega Evolution Promo
16909,250320,Charizard,Celebrations: Classic Collection
17474,586831,Charizard ex - 161,SV: Scarlet & Violet Promo Cards
17498,641610,Charizard ex -196,SV: Scarlet & Violet Promo Cards
17516,521697,Charizard ex - 056,SV: Scarlet & Violet Promo Cards
17556,538687,Charizard ex - 074,SV: Scarlet & Violet Promo Cards
18155,113746,Charizard,Generations: Radiant Collection
18176,614370,Charizard,McDonald's Promos 2024
18707,197651,Charizard GX,Hidden Fates
18803,84200,Charizard G,Supreme Victors
18830,84201,Charizard G Lv.X,Supreme Victors
19092,106999,Charizard,Base Set (Shadowless)
20648,148151,Charizard GX - SM60,SM Promos
20656,185253,Charizard GX - SM195,SM Promos
20658,197874,Charizard GX - SM211,SM Promos
20680,253394,Reshiram & Charizard GX - SM247,SM Promos
20709,205163,Charizard & Braixen GX - SM230,SM Promos
20741,196347,Reshiram & Charizard GX - SM201,SM Promos
20765,205171,Charizard - SM226,SM Promos
20787,183966,Charizard - SM158,SM Promos
20930,183967,Charizard - SM158 [Staff],SM Promos
21193,219232,Charizard V,SWSH03: Darkness Ablaze
21207,219233,Charizard VMAX,SWSH03: Darkness Ablaze
21519,183785,Charizard,SM - Team Up
21639,284251,Charizard,SWSH11: Lost Origin Trainer Gallery
21793,84187,Charizard,Dragon
22288,641615,Charizard ex -196,Jumbo Cards
22322,253395,Reshiram & Charizard GX - SM247,Jumbo Cards
22323,652029,Charizard ex - 054/091,Jumbo Cards
22353,251104,Lance's Charizard V - SWSH133,Jumbo Cards
22391,196348,Reshiram & Charizard GX - SM201,Jumbo Cards
22411,91614,Charizard EX - XY17 (XY Black Star Promos),Jumbo Cards
22470,152944,Charizard EX - 11/106,Jumbo Cards
22478,148152,Charizard GX - SM60 (SM Black Star Promos),Jumbo Cards
22505,211422,Charizard EX - XY121 (XY Black Star Promos),Jumbo Cards
22516,210841,Charizard - S1/S4 (Box Topper),Jumbo Cards
22525,185252,Charizard GX - SM195 (SM Black Star Promo),Jumbo Cards
22533,581987,Charizard ex - 125/197,Jumbo Cards
22559,205164,Charizard & Braixen GX - SM230 (SM Black Star Promo),Jumbo Cards
22560,205166,Charizard GX - SM211 (SM Black Star Promo),Jumbo Cards
22573,210851,Charizard - 9/12 (Box Topper),Jumbo Cards
22578,484447,Charizard VSTAR,Jumbo Cards
22592,211421,M Charizard EX - 69/106 (Form X),Jumbo Cards
22602,211420,M Charizard EX - 13/106 (Form Y),Jumbo Cards
22606,179079,Charizard - 4/102 (CoroCoro Promo),Jumbo Cards
23164,219059,Charizard GX - 9/68 (#60 Charizard Stamped),Battle Academy
23170,219066,Flareon - SM186 (#27 Charizard Stamped),Battle Academy
23172,219083,Kangaskhan - 55/70 (#53 Charizard Stamped),Battle Academy
23179,219067,Flareon - SM186 (#44 Charizard Stamped),Battle Academy
23184,219048,Charmander - 18/147 (#16 Charizard Stamped),Battle Academy
23189,219082,Kangaskhan - 55/70 (#4 Charizard Stamped),Battle Academy
23190,219096,Salazzle - 34/236 (#23 Charizard Stamped),Battle Academy
23193,219063,Cynthia - 119/156 (#59 Charizard Stamped),Battle Academy
23203,219029,Charmander - 18/147 (#1 Charizard Stamped),Battle Academy
23205,219057,Bug Catcher - 189/236 (#47 Charizard Stamped),Battle Academy
23212,219050,Charmander - 18/147 (#56 Charizard Stamped),Battle Academy
23214,219049,Charmander - 18/147 (#42 Charizard Stamped),Battle Academy
23215,219064,Eevee - 49/68 (#26 Charizard Stamped),Battle Academy
23218,219100,Welder - 189/214 (#25 Charizard Stamped),Battle Academy
23221,219051,Charmeleon - 8/68 (#15 Charizard Stamped),Battle Academy
23222,219058,Charizard - 3/70 (#39 Charizard Stamped),Battle Academy
23223,219060,Cynthia - 119/156 (#21 Charizard Stamped),Battle Academy
23227,219095,Salazzle - 34/236 (#7 Charizard Stamped),Battle Academy
23231,219086,Pokemon Fan Club - 133/156 (#45 Charizard Stamped),Battle Academy
23232,219085,Pokemon Catcher - 126/149 (#54 Charizard Stamped),Battle Academy
23233,219073,Great Ball - 119/149 (#55 Charizard Stamped),Battle Academy
23234,219084,Moltres - 38/214 (#46 Charizard Stamped),Battle Academy
23235,219053,Charmeleon - 8/68 (#51 Charizard Stamped),Battle Academy
23238,219077,Hau - 120/149 (#41 Charizard Stamped),Battle Academy
23240,219072,Great Ball - 119/149 (#48 Charizard Stamped),Battle Academy
23246,219076,Hau - 120/149 (#28 Charizard Stamped),Battle Academy
23247,219094,Salandit - 25/156 (#31 Charizard Stamped),Battle Academy
23248,219065,Eevee - 49/68 (#36 Charizard Stamped),Battle Academy
23250,219062,Cynthia - 119/156 (#50 Charizard Stamped),Battle Academy
23251,219079,Hau - 120/149 (#57 Charizard Stamped),Battle Academy
23252,219088,Potion - 127/149 (#14 Charizard Stamped),Battle Academy
23257,219097,Salazzle - 34/236 (#49 Charizard Stamped),Battle Academy
23258,219071,Great Ball - 119/149 (#43 Charizard Stamped),Battle Academy
23266,219052,Charmeleon - 8/68 (#30 Charizard Stamped),Battle Academy
23268,219098,Switch - 132/149 (#40 Charizard Stamped),Battle Academy
23273,219056,Bug Catcher - 189/236 (#34 Charizard Stamped),Battle Academy
23274,219093,Salandit - 25/156 (#18 Charizard Stamped),Battle Academy
23275,219099,Switch - 132/149 (#58 Charizard Stamped),Battle Academy
23296,219070,Great Ball - 119/149 (#33 Charizard Stamped),Battle Academy
23298,219091,Salandit - 25/156 (#13 Charizard Stamped),Battle Academy
23324,219089,Potion - 127/149 (#37 Charizard Stamped),Battle Academy
23347,219078,Hau - 120/149 (#52 Charizard Stamped),Battle Academy
23417,220119,Charizard - 20/149 (Cosmos Holo),Blister Exclusives
23729,84198,Charizard Star (Delta Species),Dragon Frontiers
23830,84192,Charizard,Boundaries Crossed
24255,89163,Shining Charizard,Neo Destiny
24336,84193,Charizard,Plasma Storm
24380,138496,Charizard GX,SM - Burning Shadows
